# Gnuplot data for cdf plot on time
# SMT-LIB group log
#
# lines format: <filename> <status> <time>
railway_control_unsafe_02 satisfiable 0.05
temperature_unsafe_02 satisfiable 0.1
temperature_unsafe_04 satisfiable 0.15
ticket_unsafe_02 satisfiable 0.2
temperature_unsafe_03 satisfiable 0.26
temperature_unsafe_05 satisfiable 0.32
temperature_unsafe_06 satisfiable 0.38
temperature_unsafe_09 satisfiable 0.44
temperature_unsafe_11 satisfiable 0.5
ticket_unsafe_03 satisfiable 0.56
ticket_unsafe_04 satisfiable 0.62
temperature_unsafe_07 satisfiable 0.69
temperature_unsafe_08 satisfiable 0.76
temperature_unsafe_10 satisfiable 0.83
ticket_unsafe_06 satisfiable 0.9
ticket_unsafe_05 satisfiable 0.98
ticket_unsafe_07 satisfiable 1.08
ticket_unsafe_08 satisfiable 1.18
railway_control_safe_02 unsatisfiable 1.3
ticket_unsafe_10 satisfiable 1.44
ticket_unsafe_09 satisfiable 1.59
ticket_unsafe_11 satisfiable 1.76
ticket_safe_02 unsatisfiable 2.0
leader_election_unsafe_02 satisfiable 2.27
quorum_unsafe_02 satisfiable 2.54
quorum_unsafe_03 satisfiable 2.91
railway_control_safe_03 unsatisfiable 3.3
leader_election_safe_02 unsatisfiable 3.77
quorum_unsafe_04 satisfiable 4.25
quorum_unsafe_05 satisfiable 4.86
quorum_unsafe_06 satisfiable 5.58
quorum_unsafe_07 satisfiable 6.5
quorum_unsafe_08 satisfiable 7.49
atm_safe_02 unsatisfiable 8.63
quorum_unsafe_09 satisfiable 9.83
quorum_unsafe_10 satisfiable 11.09
quorum_safe_02 unsatisfiable 12.39
quorum_unsafe_11 satisfiable 13.77
railway_control_safe_04 unsatisfiable 15.34
temperature_safe_02 unsatisfiable 16.95
temperature_safe_03 unsatisfiable 18.92
temperature_safe_04 unsatisfiable 21.41
temperature_safe_05 unsatisfiable 24.29
temperature_safe_06 unsatisfiable 27.77
temperature_safe_07 unsatisfiable 31.66
temperature_safe_08 unsatisfiable 35.93
leader_election_unsafe_03 satisfiable 40.38
temperature_safe_09 unsatisfiable 45.18
temperature_safe_10 unsatisfiable 50.38
temperature_safe_11 unsatisfiable 56.32
leader_election_safe_03 unsatisfiable 62.7
quorum_safe_03 unsatisfiable 71.16
railway_control_safe_05 unsatisfiable 81.52
ticket_safe_03 unsatisfiable 101.26
atm_safe_03 unsatisfiable 131.13
railway_control_safe_06 unsatisfiable 182.95
quorum_safe_04 unsatisfiable 236.73
railway_control_unsafe_03 satisfiable 307.16
leader_election_safe_04 unsatisfiable 490.27
railway_control_safe_07 unsatisfiable 700.95
railway_control_unsafe_04 satisfiable 917.7
railway_control_safe_08 unsatisfiable 1182.62
atm_unsafe_02 satisfiable 1488.13
